codimuni,codicomarca,provincia,comarca,partitjudicial,municipi,poblacio,homes,dones,greus,moltgreus,siadmuni,siadsnombre,siadstitularitat,tasadenuncia,estimaciodenuncies,tasaateses,estimacioateses,tasaatesesvm
430379,12,Tarragona,Baix Penedès,el Vendrell,Calafell,25444,12767,10866,663,250,Calafell,1,l'Ajuntament,17.47,116,6.18,41,40
430516,12,Tarragona,Baix Penedès,el Vendrell,Cunit,12326,6016,5373,328,124,No,1,el Consell Comarcal,17.47,57,6.18,20,40
430167,12,Tarragona,Baix Penedès,el Vendrell,l'Arboç,5505,2836,2176,133,50,No,1,el Consell Comarcal,17.47,23,6.18,8,40
430287,12,Tarragona,Baix Penedès,el Vendrell,la Bisbal del Penedès,3464,1836,1394,85,32,No,1,el Consell Comarcal,17.47,15,6.18,5,40
431401,12,Tarragona,Baix Penedès,el Vendrell,Santa Oliva,3328,1681,1351,82,31,No,1,el Consell Comarcal,17.47,14,6.18,5,40
430206,12,Tarragona,Baix Penedès,el Vendrell,Banyeres del Penedès,3128,1583,1260,77,29,No,1,el Consell Comarcal,17.47,13,6.18,5,40
431378,12,Tarragona,Baix Penedès,el Vendrell,Sant Jaume dels Domenys,2551,1314,1007,61,23,No,1,el Consell Comarcal,17.47,11,6.18,4,40
430022,12,Tarragona,Baix Penedès,el Vendrell,Albinyana,2371,1202,1003,61,23,No,1,el Consell Comarcal,17.47,11,6.18,4,40
430748,12,Tarragona,Baix Penedès,el Vendrell,Llorenç del Penedès,2327,1146,998,61,23,No,1,el Consell Comarcal,17.47,11,6.18,4,40
430249,12,Tarragona,Baix Penedès,el Vendrell,Bellvei,2190,1120,865,53,20,No,1,el Consell Comarcal,17.47,9,6.18,3,40
430901,12,Tarragona,Baix Penedès,el Vendrell,el Montmell,1437,764,566,35,13,No,1,el Consell Comarcal,17.47,6,6.18,2,40
430304,12,Tarragona,Baix Penedès,el Vendrell,Bonastre,687,350,274,17,6,No,1,el Consell Comarcal,17.47,3,6.18,1,40
430799,12,Tarragona,Baix Penedès,el Vendrell,Masllorenç,498,275,193,12,4,No,1,el Consell Comarcal,17.47,2,6.18,1,40
431536,36,Tarragona,Tarragonès,el Vendrell,Torredembarra,15992,7821,6927,423,159,Torredembarra,1,l'Ajuntament,17.47,74,2.65,11,21.7
431310,36,Tarragona,Tarragonès,el Vendrell,Roda de Berà,6461,3305,2667,163,61,No,1,el Consell Comarcal,17.47,28,2.65,4,21.7
430120,36,Tarragona,Tarragonès,el Vendrell,Altafulla,5120,2491,2169,132,50,No,1,el Consell Comarcal,17.47,23,2.65,4,21.7
430509,36,Tarragona,Tarragonès,el Vendrell,Creixell,3526,1788,1486,91,34,No,1,el Consell Comarcal,17.47,16,2.65,2,21.7
431114,36,Tarragona,Tarragonès,el Vendrell,la Pobla de Montornès,2828,1485,1131,69,26,No,1,el Consell Comarcal,17.47,12,2.65,2,21.7
431264,36,Tarragona,Tarragonès,el Vendrell,la Riera de Gaià,1701,845,666,41,15,No,1,el Consell Comarcal,17.47,7,2.65,1,21.7
430976,36,Tarragona,Tarragonès,el Vendrell,la Nou de Gaià,570,282,233,14,5,No,1,el Consell Comarcal,17.47,2,2.65,0,21.7
431359,36,Tarragona,Tarragonès,el Vendrell,Salomó,564,298,216,13,5,No,1,el Consell Comarcal,17.47,2,2.65,0,21.7
431649,36,Tarragona,Tarragonès,el Vendrell,Vespella de Gaià,410,229,152,9,3,No,1,el Consell Comarcal,17.47,2,2.65,0,21.7
250582,18,Lleida,Garrigues,Lleida,les Borges Blanques,6002,3054,2516,153,58,les Borges Blanques,1,el Consell Comarcal,17.35,27,4.58,7,44
251193,18,Lleida,Garrigues,Lleida,Juneda,3409,1785,1388,85,32,No,1,el Consell Comarcal,17.35,15,4.58,4,44
250292,18,Lleida,Garrigues,Lleida,Arbeca,2162,1101,934,57,21,No,1,el Consell Comarcal,17.35,10,4.58,3,44
250674,18,Lleida,Garrigues,Lleida,Castelldans,931,502,376,23,9,No,1,el Consell Comarcal,17.35,4,4.58,1,44
250096,18,Lleida,Garrigues,Lleida,l'Albi,762,393,321,20,7,No,1,el Consell Comarcal,17.35,3,4.58,1,44
251018,18,Lleida,Garrigues,Lleida,la Granadella,728,388,308,19,7,No,1,el Consell Comarcal,17.35,3,4.58,1,44
250735,18,Lleida,Garrigues,Lleida,Cervià de les Garrigues,648,345,271,17,6,No,1,el Consell Comarcal,17.35,3,4.58,1,44
252555,18,Lleida,Garrigues,Lleida,Vinaixa,482,252,217,13,5,No,1,el Consell Comarcal,17.35,2,4.58,1,44
251180,18,Lleida,Garrigues,Lleida,Juncosa,393,211,163,10,4,No,1,el Consell Comarcal,17.35,2,4.58,0,44
250061,18,Lleida,Garrigues,Lleida,l'Albagés,375,199,160,10,4,No,1,el Consell Comarcal,17.35,2,4.58,0,44
250812,18,Lleida,Garrigues,Lleida,l'Espluga Calba,357,181,155,9,4,No,1,el Consell Comarcal,17.35,2,4.58,0,44
252069,18,Lleida,Garrigues,Lleida,el Soleràs,328,175,133,8,3,No,1,el Consell Comarcal,17.35,1,4.58,0,44
251706,18,Lleida,Garrigues,Lleida,Bellaguarda,301,160,134,8,3,No,1,el Consell Comarcal,17.35,1,4.58,0,44
251804,18,Lleida,Garrigues,Lleida,Puiggròs,272,136,122,7,3,No,1,el Consell Comarcal,17.35,1,4.58,0,44
250560,18,Lleida,Garrigues,Lleida,Bovera,257,139,109,7,3,No,1,el Consell Comarcal,17.35,1,4.58,0,44
251538,18,Lleida,Garrigues,Lleida,els Omellons,212,114,90,5,2,No,1,el Consell Comarcal,17.35,1,4.58,0,44
251692,18,Lleida,Garrigues,Lleida,la Pobla de Cérvoles,191,107,79,5,2,No,1,el Consell Comarcal,17.35,1,4.58,0,44
252537,18,Lleida,Garrigues,Lleida,el Vilosell,168,85,77,5,2,No,1,el Consell Comarcal,17.35,1,4.58,0,44
250766,18,Lleida,Garrigues,Lleida,el Cogul,161,88,69,4,2,No,1,el Consell Comarcal,17.35,1,4.58,0,44
250925,18,Lleida,Garrigues,Lleida,la Floresta,154,83,63,4,1,No,1,el Consell Comarcal,17.35,1,4.58,0,44
252249,18,Lleida,Garrigues,Lleida,els Torms,151,83,65,4,1,No,1,el Consell Comarcal,17.35,1,4.58,0,44
